number,title,created_at,closed_at
255,500 response for how java.net.URL() queries the connection.,2017-11-13T17:24:12Z,2017-11-13T20:45:23Z
256,[Jetty] WebSocket handshake: 'Upgrade' header must not appear more than once in a response,2017-11-14T08:23:00Z,2017-11-14T12:20:46Z
258,"Locations, POST with parameters ->404",2017-11-15T18:53:14Z,2017-11-21T13:27:58Z
259,"Cookie's path can be controlled for creation, but not for deletion",2017-11-16T13:36:29Z,2018-04-19T11:40:23Z
262,Static content in fat jar,2017-11-17T19:44:46Z,2017-11-18T13:38:25Z
263,support for kotlin native？,2017-11-20T06:15:31Z,2017-11-20T10:35:53Z
264,Is it possible to change port base on arguments when using .conf?,2017-11-20T08:08:50Z,2017-11-21T12:06:56Z
267,Minor tweak to docs,2017-11-29T17:57:29Z,2017-12-02T17:28:39Z
271,"call.receive takes too long or even ""hangs""",2017-12-08T12:02:19Z,2017-12-08T13:45:55Z
272,Don't force trustAll on JettyHttp2Backend,2017-12-08T18:07:44Z,2017-12-18T10:14:35Z
275,Ktor performance improvements,2017-12-17T14:44:37Z,2017-12-28T16:14:45Z
277,Cannot resolve ktor-auth-jwt,2017-12-21T13:06:33Z,2018-02-07T15:28:37Z
278,Responding with an html resource,2017-12-21T14:40:23Z,2017-12-21T20:44:05Z
280,Add guidance / samples for common deploy patterns,2017-12-21T22:49:59Z,2018-03-05T18:44:49Z
281,Easy way to redirect from http to https,2017-12-22T19:24:27Z,2017-12-24T02:35:25Z
282,How can a REST endpoint receive JSON,2017-12-24T06:35:24Z,2017-12-25T14:26:13Z
283,Mocking framework,2017-12-24T13:02:43Z,2017-12-25T14:24:22Z
284,Override options in application.conf via CMD parameters,2017-12-24T14:00:20Z,2017-12-25T14:28:32Z
285,Ktor youkube example is not up to date.,2017-12-26T23:06:44Z,2017-12-26T23:14:30Z
287,http://ktor.io/quickstart/intellij-idea.html needs to highlight the 'set up the build files' section.,2018-01-04T11:39:29Z,2018-03-09T13:14:51Z
288,Locations missing Route.delete method,2018-01-10T14:40:38Z,2018-01-29T10:38:49Z
289,Update coroutines dependency,2018-01-11T17:59:15Z,2018-03-08T22:19:27Z
290,NoSuchMethodError when switching protocols to WebSockets,2018-01-14T15:32:45Z,2018-02-07T15:27:53Z
291,FreeMarkerContent should allow null model,2018-01-15T09:17:26Z,2018-02-07T15:27:14Z
293,Upgrade Netty and Jetty,2018-01-20T09:55:34Z,2018-02-25T12:42:19Z
296,ktor quickstart with IDEA does not seem to work. ,2018-01-22T08:37:13Z,2018-03-05T17:34:44Z
299,TestApplicationEngine does not properly handle `suspend fun` calls,2018-01-25T22:09:57Z,2018-03-28T11:52:05Z
300,HttpClient interceptors do not run.,2018-01-26T22:17:23Z,2018-01-29T10:29:41Z
301,"respondWrite-Writer is never closed, even if client closes connection",2018-01-29T10:31:19Z,2018-02-25T12:41:00Z
304,ApplicationCall.respond should not be inline,2018-01-29T21:36:24Z,2018-03-09T13:10:06Z
305,Provide mechanism to override parallelism in Netty,2018-01-30T12:42:40Z,2018-03-04T17:12:32Z
306,(with Netty) First request after booting is much longer,2018-01-30T17:13:59Z,2018-03-09T13:09:09Z
307,Allow ContentNegotiation to match against missing Accept header,2018-01-31T12:14:34Z,2018-02-07T15:20:14Z
308,location-based routing doesn't seem to parse body into lambda param with Gson,2018-01-31T14:27:29Z,2018-01-31T15:11:45Z
310,Allow for custom cookie types,2018-01-31T22:00:12Z,2018-03-19T20:32:00Z
311,Secure Cookies behind an SSL load balancer,2018-02-01T23:43:58Z,2018-08-18T19:27:19Z
313,call.receive api inconsistency,2018-02-02T11:24:04Z,2018-02-05T17:42:35Z
314,WebSocket is not being closed in the sample,2018-02-04T20:59:04Z,2018-02-07T18:18:33Z
317,"Missing ""Accept"" header should not cause 406 response by default",2018-02-06T21:31:30Z,2018-02-07T15:17:52Z
318,DevelopmentEngine shall log local application URL at INFO level on start,2018-02-07T12:38:14Z,2018-03-09T13:45:38Z
322,Routing does not work with arbitrary servlet context path,2018-02-10T15:35:42Z,2019-05-08T22:15:12Z
329,OAuth2 scopes implemented incorrectly,2018-02-21T12:27:28Z,2018-02-27T05:25:11Z
330,URLProtocol.createOrDefault causes missing port in result urls,2018-02-21T15:41:04Z,2018-03-21T07:42:00Z
334,Front page example is not working,2018-02-23T13:31:20Z,2018-02-26T05:39:10Z
337,Sending byte array as response,2018-02-25T11:34:32Z,2018-02-25T13:36:17Z
339,Locations support for ContentNegotiation (e.g. Jackson + Locations),2018-02-28T13:58:19Z,2018-03-09T12:50:54Z
341,can't download org.jetbrains.kotlinx:kotlinx-html-jvm:0.6.7,2018-02-28T20:40:10Z,2018-03-02T08:37:24Z
342,Java 9 Module Resolution Error,2018-03-01T17:35:52Z,2018-03-11T12:12:58Z
343,Routing dynamic files,2018-03-04T11:29:29Z,2018-08-30T09:43:54Z
344,ConditionalHeaders gives Last-Modified in local server timezone,2018-03-04T16:36:20Z,2018-03-08T12:28:13Z
345,Content-Length not specified with ktor-html,2018-03-05T17:49:24Z,2018-03-08T19:34:35Z
346,unable to use ktor-client with jackson and collections,2018-03-07T00:43:27Z,2018-08-14T12:57:33Z
347,ktor-client should not keep JVM from shutting down,2018-03-07T09:58:45Z,2018-03-29T11:11:47Z
348,Feature: Redirect to SSL,2018-03-07T10:31:08Z,2018-03-07T11:00:15Z
351,Get client IP behind proxy,2018-03-07T17:04:43Z,2018-03-08T09:27:12Z
354,Exception in routing does not output stacktrace with CallLogging installed.,2018-03-09T13:08:01Z,2018-03-28T10:24:34Z
355,Ktor doesn't follow Kotlin Best Practices around package naming for using coroutines,2018-03-09T21:48:54Z,2018-03-12T00:55:13Z
358,config doesn't load while running ktor-test,2018-03-13T23:19:19Z,2018-03-14T04:00:55Z
359,Hot reload broken with Gradle on JDK9,2018-03-14T23:57:36Z,2018-03-15T15:49:52Z
362,Support BigDecimal in feature locations,2018-03-19T14:02:48Z,2018-05-15T10:04:53Z
364,Multipart not reading all/any parts,2018-03-20T21:59:16Z,2018-03-28T19:20:29Z
365,Deserializing generic types with GSON for ktor client,2018-03-22T13:39:25Z,2018-06-13T05:40:59Z
366,Handle fail authentication,2018-03-22T20:16:25Z,2018-08-30T09:23:01Z
367,How to authenticate only some routes,2018-03-22T21:17:45Z,2018-03-22T23:04:21Z
371,Lazy value not initialised yet,2018-03-27T12:04:24Z,2018-04-16T08:42:02Z
372,benchmarking with WRK I'm getting Non-2xx responses after add jackson support,2018-03-28T00:55:28Z,2018-03-28T11:57:09Z
373,App Not Autoreloading,2018-03-29T05:14:26Z,2018-03-29T21:13:05Z
374,"When config is passed via -config=<filename>, environment variables are not resolved",2018-03-30T11:07:32Z,2018-07-25T15:10:53Z
375,Update JWT Auth validate to have access to request context,2018-04-02T14:49:56Z,2018-04-18T08:14:16Z
377,receiveOrNull susceptible to type erasure,2018-04-02T22:50:36Z,2020-01-14T17:37:00Z
382,Initializing with SSL locally with self-signed JKS and Netty fails,2018-04-08T19:32:28Z,2018-04-14T14:45:33Z
383,no SSL,2018-04-09T01:35:08Z,2018-12-27T11:38:22Z
385,HttpClient.post(builder: HttpRequestBuilder) does GET instead of POST,2018-04-09T21:25:05Z,2018-04-14T09:54:14Z
387,is docs about extracting route wrong?,2018-04-11T01:37:53Z,2018-04-16T08:35:14Z
389,Server incompatibilities making requests with cookies from ktor-client,2018-04-12T06:08:36Z,2018-06-15T06:47:50Z
391,Documentation for Post using Location feature isn't updated,2018-04-24T01:05:23Z,2018-08-15T15:13:23Z
392,HttpClient.get<String> throws on empty response body,2018-04-24T13:28:32Z,2018-04-27T05:47:26Z
394,Better SSL support for raw sockets,2018-04-24T15:30:47Z,2018-12-26T13:13:10Z
395,Implement `respondBytes` similar to responding with text,2018-04-28T19:42:12Z,2018-05-03T09:09:11Z
396,MPP Http Client?,2018-04-28T21:49:14Z,2018-08-02T07:58:32Z
397,JWT custom Authentication Scheme Name,2018-05-06T13:57:58Z,2018-05-10T10:08:31Z
400,String#escapeHTML unsafe,2018-05-08T12:25:33Z,2018-08-30T09:15:31Z
401,Automatic loading is abnormal,2018-05-09T09:51:48Z,2018-05-11T12:41:35Z
402,Why do websockets close when they receive data,2018-05-10T01:13:30Z,2018-05-10T09:26:03Z
403,DefaultConversionService throws confusing NoSuchElementException when converting invalid Enums,2018-05-10T03:51:12Z,2018-08-30T09:15:16Z
404,Udp socket failed to get data,2018-05-11T06:17:49Z,2018-05-11T12:41:45Z
405,WebSocket does not support @Location,2018-05-13T04:48:28Z,2018-05-13T05:00:11Z
406,websocket bug？？,2018-05-13T08:16:17Z,2018-05-19T06:53:27Z
407,How to get websocket configuration information,2018-05-13T10:17:09Z,2018-05-13T13:13:48Z
413,HttpResponse.receive method documented but missing,2018-05-17T20:38:40Z,2018-06-13T05:40:20Z
414,Basic Authentication provider fails on invalid Authorization header,2018-05-17T21:35:34Z,2018-05-21T19:52:10Z
418,Wrong user credential for Basic Auth using Cyrillic,2018-05-21T06:42:32Z,2018-05-30T07:23:07Z
419,[http-client-cio] Responses with more than 2048 characters in header result in IndexOutOfBoundsException,2018-05-21T10:13:58Z,2018-06-26T11:44:46Z
423,[client] Masking for WS should be enabled by default,2018-05-29T11:25:29Z,2018-06-13T05:39:54Z
424,[ktor-server-netty] Unable to send responses larger than ~2GB,2018-05-30T08:17:16Z,2018-08-14T12:21:38Z
425,Rename DevelopmentEngine to EmbeddedEngine,2018-05-31T08:50:12Z,2018-10-23T10:03:02Z
