number,created_at,closed_at
30269,2019-02-16T12:28:47Z,2019-02-16T13:04:04Z
30270,2019-02-16T12:45:43Z,2019-03-09T19:32:42Z
30281,2019-02-17T21:49:25Z,2019-02-21T08:24:59Z
30283,2019-02-17T23:08:58Z,2019-02-18T10:57:31Z
30285,2019-02-18T09:34:10Z,2019-02-21T07:36:34Z
30288,2019-02-18T11:32:40Z,2019-03-12T10:51:10Z
30289,2019-02-18T13:42:38Z,2020-01-01T10:34:41Z
30291,2019-02-18T13:55:10Z,2019-02-18T14:45:19Z
30293,2019-02-18T15:01:01Z,2019-02-19T10:27:14Z
30297,2019-02-18T19:04:50Z,2019-02-19T07:49:58Z
30298,2019-02-18T21:31:16Z,2019-02-19T07:56:23Z
30299,2019-02-18T21:33:59Z,2019-03-07T20:35:28Z
30300,2019-02-19T10:12:46Z,2019-02-20T03:26:01Z
30304,2019-02-19T15:07:59Z,2019-06-28T14:21:03Z
30306,2019-02-19T16:13:06Z,2019-03-04T20:07:35Z
30310,2019-02-20T03:30:12Z,2019-03-31T11:46:45Z
30315,2019-02-20T11:11:15Z,2019-04-07T08:22:06Z
30316,2019-02-20T12:37:40Z,2019-02-25T17:27:42Z
30318,2019-02-20T13:34:58Z,2019-03-04T20:43:11Z
30322,2019-02-20T17:27:46Z,2019-02-21T09:22:21Z
30328,2019-02-21T10:56:49Z,2019-03-06T08:20:39Z
30333,2019-02-21T14:17:33Z,2019-03-17T06:58:03Z
30337,2019-02-22T09:23:40Z,2019-02-22T16:40:36Z
30338,2019-02-22T09:34:30Z,2019-02-22T09:52:25Z
30341,2019-02-22T11:25:13Z,2019-02-23T14:32:32Z
30342,2019-02-22T11:36:18Z,2019-05-30T18:28:12Z
30343,2019-02-22T12:56:20Z,2019-08-06T06:44:19Z
30346,2019-02-22T13:49:59Z,2019-03-04T10:53:01Z
30353,2019-02-23T05:16:18Z,2020-02-20T15:46:35Z
30359,2019-02-23T14:09:01Z,2019-04-17T13:45:27Z
30362,2019-02-24T00:02:52Z,2019-02-24T15:44:58Z
30366,2019-02-24T12:44:48Z,2019-03-04T06:34:51Z
30367,2019-02-24T14:37:33Z,2019-11-06T20:23:38Z
30369,2019-02-24T17:52:58Z,2019-02-25T16:06:56Z
30373,2019-02-25T08:45:17Z,2020-04-09T08:37:05Z
30376,2019-02-25T14:59:30Z,2019-03-07T08:22:33Z
30378,2019-02-25T16:51:12Z,2019-03-16T10:16:24Z
30384,2019-02-26T09:29:35Z,2019-12-02T10:32:19Z
30386,2019-02-26T15:32:57Z,2019-05-24T16:01:42Z
30389,2019-02-26T23:53:22Z,2019-03-04T06:36:18Z
30391,2019-02-27T08:45:38Z,2019-03-04T08:49:08Z
30393,2019-02-27T10:58:48Z,2019-04-12T14:34:08Z
30394,2019-02-27T11:05:48Z,2019-03-10T10:17:49Z
30395,2019-02-27T13:55:07Z,2019-03-15T13:35:02Z
